Id, Applied to Schema, Applied on Date, Applied to Server, Was Executed, Succeeded, Report
patch.imap.clear.old.messages, 17000, 2023-01-23 13:18:34.053, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.imapSpacesTemplates2, 17000, 2023-01-23 13:18:34.054, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.migrateAttrDropOldTables, 17000, 2023-01-23 13:18:34.055, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V4.0-AclChangeSet, 17000, 2023-01-23 13:18:34.057, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V4.0-NodeAssoc-Ordering, 17000, 2023-01-23 13:18:34.058, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V4.0-Node-Locale, 17000, 2023-01-23 13:18:34.059, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.activitiesTemplatesUpdate, 17000, 2023-01-23 13:18:34.06, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.followingMailTemplates, 17000, 2023-01-23 13:18:34.061, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V4.0-SubscriptionTables, 17000, 2023-01-23 13:18:34.062, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.copiedFromAspect, 17000, 2023-01-23 13:18:34.063, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.publishing.root, 17000, 2023-01-23 13:18:34.063, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.workflowNotification, 17000, 2023-01-23 13:18:34.064, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.nodeTemplatesFolder, 17000, 2023-01-23 13:18:34.065, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.updateMimetypes3, 17000, 2023-01-23 13:18:34.067, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.sitesSpacePermissions, 17000, 2023-01-23 13:18:34.068, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.updateWorkflowNotificationTemplates, 17000, 2023-01-23 13:18:34.07, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.updateMimetypes4, 17000, 2023-01-23 13:18:34.071, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.updateMimetypesWMA, 17000, 2023-01-23 13:18:34.073, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.updateFollowingEmailTemplatesPatch, 17000, 2023-01-23 13:18:34.074, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V4.0-SolrTracking, 17000, 2023-01-23 13:18:34.075, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.addDutchEmailTemplatesPatch, 17000, 2023-01-23 13:18:34.076, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.fixBpmPackages, 17000, 2023-01-23 13:18:34.077, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V3.4-alter-jBPM331-CLOB-columns-to-nvarchar, 17000, 2023-01-23 13:18:34.078, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.imapUnsubscribedAspect, 17000, 2023-01-23 13:18:34.079, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V4.0-Activiti-task-id-indexes, 17000, 2023-01-23 13:18:34.08, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.remoteCredentialsContainer, 17000, 2023-01-23 13:18:34.083, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
