Content Model URI, Property
http://www.alfresco.org/model/system/1.0, cascadeTx
http://www.alfresco.org/model/system/1.0, cascadeUpdate
http://www.alfresco.org/model/system/1.0, children
http://www.alfresco.org/model/system/1.0, clientControlled
http://www.alfresco.org/model/system/1.0, clientVisibilityMask
http://www.alfresco.org/model/system/1.0, container
http://www.alfresco.org/model/system/1.0, deleted
http://www.alfresco.org/model/system/1.0, descriptor
http://www.alfresco.org/model/system/1.0, hidden
http://www.alfresco.org/model/system/1.0, incomplete
http://www.alfresco.org/model/system/1.0, keyStore
http://www.alfresco.org/model/system/1.0, licenseMode
http://www.alfresco.org/model/system/1.0, name
http://www.alfresco.org/model/system/1.0, originalId
http://www.alfresco.org/model/system/1.0, reference
http://www.alfresco.org/model/system/1.0, store_root
http://www.alfresco.org/model/system/1.0, temporary
http://www.alfresco.org/model/system/1.0, undeletable
http://www.alfresco.org/model/system/1.0, unmovable
http://www.alfresco.org/model/system/1.0, versionBuild
http://www.alfresco.org/model/system/1.0, versionEdition
http://www.alfresco.org/model/system/1.0, versionLabel
http://www.alfresco.org/model/system/1.0, versionMajor
http://www.alfresco.org/model/system/1.0, versionMinor
http://www.alfresco.org/model/system/1.0, versionProperties
http://www.alfresco.org/model/system/1.0, versionRevision
http://www.alfresco.org/model/system/1.0, versionSchema
http://www.alfresco.org/model/transfer/1.0, transferGroup
http://www.alfresco.org/model/user/1.0, accountExpires
http://www.alfresco.org/model/user/1.0, accountLocked
http://www.alfresco.org/model/user/1.0, credentialsExpire
http://www.alfresco.org/model/user/1.0, enabled
http://www.alfresco.org/model/user/1.0, hashIndicator
http://www.alfresco.org/model/user/1.0, password
http://www.alfresco.org/model/user/1.0, passwordHash
http://www.alfresco.org/model/user/1.0, salt
http://www.alfresco.org/model/user/1.0, user
http://www.alfresco.org/model/user/1.0, username
http://www.alfresco.org/model/versionstore/1.0, versionStoreRoot
http://www.alfresco.org/model/versionstore/2.0, assocDbId
http://www.alfresco.org/model/versionstore/2.0, frozenAccessed
http://www.alfresco.org/model/versionstore/2.0, frozenCreated
http://www.alfresco.org/model/versionstore/2.0, frozenCreator
http://www.alfresco.org/model/versionstore/2.0, frozenModified
http://www.alfresco.org/model/versionstore/2.0, frozenModifier
http://www.alfresco.org/model/versionstore/2.0, frozenNodeDbId
http://www.alfresco.org/model/versionstore/2.0, frozenNodeRef
http://www.alfresco.org/model/versionstore/2.0, metadata-versionType
http://www.alfresco.org/model/versionstore/2.0, rootVersion
http://www.alfresco.org/model/versionstore/2.0, version
http://www.alfresco.org/model/versionstore/2.0, versionDescription
http://www.alfresco.org/model/versionstore/2.0, versionedAssocs
http://www.alfresco.org/model/versionstore/2.0, versionedNodeId
http://www.alfresco.org/model/versionstore/2.0, versionHistory
http://www.alfresco.org/model/versionstore/2.0, versionLabel
http://www.alfresco.org/model/versionstore/2.0, versionStoreRoot
http://www.alfresco.org/system/modules/1.0, currentVersion
http://www.alfresco.org/system/modules/1.0, executionDate
http://www.alfresco.org/system/modules/1.0, installedVersion
http://www.tieto.com/model/documentRevisionContentModel/1.0, supportDocument
http://www.tieto.com/model/documentRevisionContentModel/1.0, supportFile
http://www.tieto.com/model/documentRevisionContentModel/1.0, supportFileAssocAspect
