Database Tables Information
Table Name, Total Size, Row Estimate, Table Size, Index Size
application/x-javascript, 10, 0
application/x-shockwave-flash, 7, 1
application/octet-stream, 4, 0
application/msword, 3, 0
application/pdf, 2, 0
application/vnd.ms-powerpoint, 2, 4
video/mp4, 1, 3
application/json, 1, 0
application/vnd.ms-excel, 1, 0

Nodes by Content Type
Node Type, Nodes Count
{http://www.alfresco.org/model/content/1.0}category, 335
{http://www.alfresco.org/model/content/1.0}content, 184
{http://www.alfresco.org/model/action/1.0}actionparameter, 129
{http://www.alfresco.org/model/content/1.0}folder, 73
{http://www.alfresco.org/model/content/1.0}thumbnail, 37
{http://www.alfresco.org/model/system/1.0}container, 16
{http://www.alfresco.org/model/content/1.0}authorityContainer, 10
{http://www.alfresco.org/model/action/1.0}action, 10
{http://www.alfresco.org/model/forum/1.0}post, 7
{http://www.alfresco.org/model/system/1.0}store_root, 6
{http://www.alfresco.org/model/datalist/1.0}todoList, 5
{http://www.alfresco.org/model/content/1.0}systemfolder, 4
{http://www.alfresco.org/model/versionstore/2.0}versionHistory, 4
{http://www.alfresco.org/model/datalist/1.0}issue, 4
{http://www.alfresco.org/model/content/1.0}person, 4
{http://www.alfresco.org/model/content/1.0}zone, 3
{http://www.alfresco.org/model/forum/1.0}topic, 3
{http://www.alfresco.org/model/action/1.0}compositeaction, 3
{http://www.alfresco.org/model/action/1.0}actioncondition, 3
{http://www.alfresco.org/model/rule/1.0}rule, 3
{http://www.alfresco.org/model/user/1.0}user, 3
{http://www.alfresco.org/model/system/1.0}descriptor, 2
{http://www.alfresco.org/model/linksmodel/1.0}link, 2
{http://www.alfresco.org/model/datalist/1.0}dataList, 2
{http://www.alfresco.org/model/system/1.0}deleted, 1
{http://www.alfresco.org/model/solrfacet/1.0}facets, 1
{http://www.alfresco.org/model/content/1.0}mlRoot, 1
{http://www.alfresco.org/model/site/1.0}site, 1
{http://www.alfresco.org/model/publishing/1.0}Environment, 1
{http://www.alfresco.org/model/forum/1.0}forum, 1
{http://www.alfresco.org/model/transfer/1.0}transferGroup, 1
{http://www.alfresco.org/model/content/smartfolder/1.0}smartFolderTemplate, 1
{http://www.alfresco.org/model/site/1.0}sites, 1
{http://www.alfresco.org/model/content/1.0}category_root, 1

Nodes by Store
Store, Nodes Count
archive://SpacesStore, 1
system://system, 9
user://alfrescoUserStore, 6
workspace://lightWeightVersionStore, 1
workspace://SpacesStore, 836
workspace://version2Store, 9

Resource Locking
Ide, Lock Token, Start Time, Expiry Time, Shared Resource, Exclusive Resource, URI
1, not-locked, 0, 0, verifylicense, verifylicense, http://www.alfresco.org/model/content/1.0
2, not-locked, 0, 0, org, org.alfresco.repo.usage.userusagetrackingcomponent, http://www.alfresco.org/model/system/1.0
3, not-locked, 0, 0, org.alfresco, org.alfresco.repo.usage.userusagetrackingcomponent, http://www.alfresco.org/model/system/1.0
4, not-locked, 0, 0, org.alfresco.repo, org.alfresco.repo.usage.userusagetrackingcomponent, http://www.alfresco.org/model/system/1.0
5, not-locked, 0, 0, org.alfresco.repo.usage, org.alfresco.repo.usage.userusagetrackingcomponent, http://www.alfresco.org/model/system/1.0
6, not-locked, 0, 0, org.alfresco.repo.usage.userusagetrackingcomponent, org.alfresco.repo.usage.userusagetrackingcomponent, http://www.alfresco.org/model/system/1.0
7, not-locked, 0, 0, chaininguserregistrysynchronizer, chaininguserregistrysynchronizer, http://www.alfresco.org/model/system/1.0
8, not-locked, 0, 0, activitypostlookup, activitypostlookup, http://www.alfresco.org/model/system/1.0
9, not-locked, 0, 0, feedgenerator, feedgenerator, http://www.alfresco.org/model/system/1.0
10, not-locked, 0, 0, org, org.alfresco.repo.activities.feed.cleanup.feedcleaner, http://www.alfresco.org/model/system/1.0
11, not-locked, 0, 0, org.alfresco, org.alfresco.repo.activities.feed.cleanup.feedcleaner, http://www.alfresco.org/model/system/1.0
12, not-locked, 0, 0, org.alfresco.repo, org.alfresco.repo.activities.feed.cleanup.feedcleaner, http://www.alfresco.org/model/system/1.0
13, not-locked, 0, 0, org.alfresco.repo.activities, org.alfresco.repo.activities.feed.cleanup.feedcleaner, http://www.alfresco.org/model/system/1.0
14, not-locked, 0, 0, org.alfresco.repo.activities.feed, org.alfresco.repo.activities.feed.cleanup.feedcleaner, http://www.alfresco.org/model/system/1.0
15, not-locked, 0, 0, org.alfresco.repo.activities.feed.cleanup, org.alfresco.repo.activities.feed.cleanup.feedcleaner, http://www.alfresco.org/model/system/1.0
16, not-locked, 0, 0, org.alfresco.repo.activities.feed.cleanup.feedcleaner, org.alfresco.repo.activities.feed.cleanup.feedcleaner, http://www.alfresco.org/model/system/1.0
17, not-locked, 0, 0, org, org.alfresco.repo.activities.post.cleanup.postcleaner, http://www.alfresco.org/model/system/1.0
18, not-locked, 0, 0, org.alfresco, org.alfresco.repo.activities.post.cleanup.postcleaner, http://www.alfresco.org/model/system/1.0
19, not-locked, 0, 0, org.alfresco.repo, org.alfresco.repo.activities.post.cleanup.postcleaner, http://www.alfresco.org/model/system/1.0
20, not-locked, 0, 0, org.alfresco.repo.activities, org.alfresco.repo.activities.post.cleanup.postcleaner, http://www.alfresco.org/model/system/1.0
21, not-locked, 0, 0, org.alfresco.repo.activities.post, org.alfresco.repo.activities.post.cleanup.postcleaner, http://www.alfresco.org/model/system/1.0
22, not-locked, 0, 0, org.alfresco.repo.activities.post.cleanup, org.alfresco.repo.activities.post.cleanup.postcleaner, http://www.alfresco.org/model/system/1.0
23, not-locked, 0, 0, org.alfresco.repo.activities.post.cleanup.postcleaner, org.alfresco.repo.activities.post.cleanup.postcleaner, http://www.alfresco.org/model/system/1.0
24, not-locked, 0, 0, nodecleanup, nodecleanup, http://www.alfresco.org/model/system/1.0
25, not-locked, 0, 0, repousagemonitor, repousagemonitor, http://www.alfresco.org/model/system/1.0
26, not-locked, 0, 0, activityfeednotifier, activityfeednotifier, http://www.alfresco.org/model/system/1.0
27, not-locked, 0, 0, fixedaclupdater, fixedaclupdater, http://www.alfresco.org/model/system/1.0
28, not-locked, 0, 0, contentstorecleaner, contentstorecleaner, http://www.alfresco.org/model/system/1.0
29, not-locked, 0, 0, solrbackupclient-alfresco, solrbackupclient-alfresco, http://www.alfresco.org/model/system/1.0
30, not-locked, 0, 0, solrbackupclient-archive, solrbackupclient-archive, http://www.alfresco.org/model/system/1.0

Authorities
Users Count
4

Authorized Users Count
1

Groups Count
4

Solr Memory
Alfresco Nodes, Archive Nodes, Transactions, ACLs, ACL Transactions
836, 1, 18, 59, 8

Alfresco Core Query Result Cache Size, Alfresco Core Authority Cache Size, Alfresco Core Path Cache Size, Alfresco Core Filter Cache Size
1024, 128, 256, 256

Archive Core Query Result Cache Size, Archive Core Authority Cache Size, Archive Core Path Cache Size, Archive Core Filter Cache Size
1024, 128, 256, 256

Alfresco Core Data Structures Memory GB, Archive Core Data Structures Memory GB, Total Solr Data Structures Memory GB
0, 0, 0

Alfresco Core Cache Memory GB, Archive Core Cache Memory GB, Total Solr Cache Memory GB
0, 0, 0

Solr Required Memory GB (for 2 searches per core)
0

JMX Properties set in DB
Property Name, Property Value
